Date:,31-1-2023,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (6.0.2),,,,,,,,,,,,,,,,,,
Component Count:,95,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Footprint,,,,,,,,,,,,,,,
,,U7,PTMUX1308QDYYRQ1,PTMUX1308QDYYRQ1j:PTMUX1308QDYYRQ1,,,,,,,,,,,,,,,
,,U8,74LVT573MTC,74LVT573MTCj:74LVT573MTC,,,,,,,,,,,,,,,
,,U9,74LVT573MTC,74LVT573MTCj:74LVT573MTC,,,,,,,,,,,,,,,
,,U10,74LVT573MTC,74LVT573MTCj:74LVT573MTC,,,,,,,,,,,,,,,
,,U11,74LVT573MTC,74LVT573MTCj:74LVT573MTC,,,,,,,,,,,,,,,
,,U12,74LVT573MTC,74LVT573MTCj:74LVT573MTC,,,,,,,,,,,,,,,
,,U13,74LVT573MTC,74LVT573MTCj:74LVT573MTC,,,,,,,,,,,,,,,
,,U14,ULN2003AIDR,ULN2003AIDRj:ULN2003AIDR,,,,,,,,,,,,,,,
,,U15,ULN2003AIDR,ULN2003AIDRj:ULN2003AIDR,,,,,,,,,,,,,,,
,,U16,ULN2003AIDR,ULN2003AIDRj:ULN2003AIDR,,,,,,,,,,,,,,,
,,U17,ULN2003AIDR,ULN2003AIDRj:ULN2003AIDR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,Footprint,Mouser Part No.,Link to Mouser,,,,,,,,,,,,,
1,1,C0,0.1uF,footprints:08055A220JAT2A,80-C0805C104K5RACLR,https://eu.mouser.com/ProductDetail/KEMET/C0805C104K5RAC7411?qs=sGAEpiMZZMsh%252B1woXyUXjwJnusVcbgzI8obGGNbqUus%3D,,,,,,,,,,,,,
2,17,"C1, C5, C6, C8, C9, C10, C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22",0.1uF,footprints:08055A220JAT2A,80-C0805C104K5RACLR,,,,,,,,,,,,,,
3,1,C2,100uF,footprints:08055A220JAT2A,581-08056D107MAT2A,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/08056D107MAT2A?qs=sGAEpiMZZMsh%252B1woXyUXj9Ay8exncNnhvYP1lX4Wtbk%3D,,,,,,,,,,,,,
4,2,"C3, C4",22pF,footprints:08055A220JAT2A,581-08055A220J,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/08055A220JAT2A?qs=owscpGBW86WTFbKrxpDmHA%3D%3D,,,,,,,,,,,,,
5,1,C7,100uf,footprints:08055A220JAT2A,581-08056D107MAT2A,,,,,,,,,,,,,,
6,1,C12,10uF,footprints:08055A220JAT2A,581-0805YC106KAT2A,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/0805YC106KAT2A?qs=sGAEpiMZZMsh%252B1woXyUXj%252BSAi0Ac%252BFnaER6vhdOJshU%3D,,,,,,,,,,,,,
7,4,"H1, H2, H3, H4",MountingHole,MountingHole:MountingHole_3.5mm,,,,,,,,,,,,,,,
8,8,"J1, J4, J7, J8, J9, J10, J11, J12",Conn_01x05_Male,Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical,,,,,,,,,,,,,,,
9,5,"J2, J13, J14, J15, J16",Conn_01x01_Male,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,,,,,,,,,,,,,,,
10,2,"J3, J5",Conn_01x03_Male,Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical,,,,,,,,,,,,,,,
11,1,J6,USB_B,Connector_USB:USB_B_TE_5787834_Vertical,,,,,,,,,,,,,,,
12,10,"R1, R2, R7, R8, R9, R10, R11, R12, R13, R14",10k,HCJ0805ZT0R00j:HCJ0805ZT0R00,806-KUSBEXSMTBS1NBTR,https://eu.mouser.com/ProductDetail/Kycon/KUSBEX-SMT-BS1N-BTR?qs=Dwx6NbQqjSszQKAJMTcyOA%3D%3D,,,,,,,,,,,,,
13,1,R3,270,HCJ0805ZT0R00j:HCJ0805ZT0R00,652-CMP0805AFX-1002L,https://eu.mouser.com/ProductDetail/Bourns/CMP0805AFX-1002ELF?qs=sGAEpiMZZMtlubZbdhIBIIPWN1VQSu3wd7%252BXHToHng8%3D,,,,,,,,,,,,,
14,1,R4,820,HCJ0805ZT0R00j:HCJ0805ZT0R00,652-CR0805JW-271ELF,https://eu.mouser.com/ProductDetail/Bourns/CR0805-JW-271ELF?qs=sGAEpiMZZMtlubZbdhIBICszN39dyvT%252BOHGqUsycFUE%3D,,,,,,,,,,,,,
15,1,R5,300,HCJ0805ZT0R00j:HCJ0805ZT0R00,652-CR0805-JW-821EPF,https://eu.mouser.com/ProductDetail/Bourns/CR0805-JW-821EPF?qs=sGAEpiMZZMtlubZbdhIBIF1PxJJ7PlzI1%2FB8BpbD%2FYU%3D,,,,,,,,,,,,,
16,1,R6,7.5k,HCJ0805ZT0R00j:HCJ0805ZT0R00,652-CR0805JW-301ELF,https://eu.mouser.com/ProductDetail/Bourns/CR0805-JW-301ELF?qs=sGAEpiMZZMtlubZbdhIBICszN39dyvT%252BhsSIYhdZlEc%3D,,,,,,,,,,,,,
17,11,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11",TestPoint,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,652-CR0805FX-7501ELF,https://eu.mouser.com/ProductDetail/Bourns/CR0805-FX-7501ELF?qs=sGAEpiMZZMtlubZbdhIBICRqbmKbZF9w9OAhIRC8MF8%3D,,,,,,,,,,,,,
18,10,"TP1.1, TP1.2, TP2.1, TP2.2, TP3.1, TP3.2, TP4.1, TP4.2, TP5.1, TP5.2",TestPoint_Small,Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,,,,,,,,,,,,,,,
19,2,"U1, U2",LM317AT/NOPB,LM317AT:LM317AT,863-LM317MADTRKG,https://eu.mouser.com/ProductDetail/onsemi/LM317MADTRKG?qs=2OtswVQKCOFlhMcZfF6npw%3D%3D,,,,,,,,,,,,,
20,1,U3,PIC24FJ64GA702-I/SO,PIC24FJ64GA702-ISO:PIC24FJ64GA702-I&slash_SO,579-24FJ256GA705I/M4,https://eu.mouser.com/ProductDetail/Microchip-Technology-Atmel/PIC24FJ256GA705-I-M4?qs=Cv1v43EOJpqZl68aYIlasQ%3D%3D,,,,,,,,,,,,,
21,1,U4,ABLS-8.000MHZ-B2-T,ABLS-8:ABLS-8.000MHZ-B2-T,815-ABLS-8-B2,https://eu.mouser.com/ProductDetail/ABRACON/ABLS-8.000MHZ-B2-T?qs=H8AWquzS%2FlOPBpG0T30dWA%3D%3D,,,,,,,,,,,,,
22,1,U5,FT232RL,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,895-FT232RNQ-REEL,https://eu.mouser.com/ProductDetail/FTDI/FT232RNQ-REEL?qs=By6Nw2ByBD2sZBqAeYrE8Q%3D%3D,,,,,,,,,,,,,
23,1,U6,CD74HC4514M96,CD74HC4514M96j:CD74HC4514M96,595-CD74HC4514M96,https://eu.mouser.com/ProductDetail/Texas-Instruments/CD74HC4514M96?qs=xFfolx0DHx3s6ILXGQ%2FrLQ%3D%3D,,,,,,,,,,,,,
24,1,U7,PTMUX1308QDYYRQ1,PTMUX1308QDYYRQ1j:PTMUX1308QDYYRQ1,595-TMUX1308QDYYRQ1,https://eu.mouser.com/ProductDetail/Texas-Instruments/TMUX1308QDYYRQ1?qs=xZ%2FP%252Ba9zWqaqz9D2kpWQ%2FA%3D%3D,,,,,,,,,,,,,
25,6,"U8, U9, U10, U11, U12, U13",74LVT573MTC,74LVT573MTCj:74LVT573MTC,512-74LVT573MTCX,https://eu.mouser.com/ProductDetail/onsemi-Fairchild/74LVT573MTCX?qs=nW0pe8qlIZhn3pN6dK8f5Q%3D%3D,,,,,,,,,,,,,
26,4,"U14, U15, U16, U17",ULN2003AIDR,ULN2003AIDRj:ULN2003AIDR,595-ULN2003AIDR,https://eu.mouser.com/ProductDetail/Texas-Instruments/ULN2003AIDR?qs=pbofycSusePLfAeFJ8tqkg%3D%3D,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
